"ProductCategory","ProductName","Reviewer","ReviewDate","Comment","Rating","IsVerifiedPurchase"
"Arts and Crafts","Sharpie Creative Paint-like Brush Tip Acrylic Markers, Assorted Colors, Stocking Stuffers, 12 Count, Perfect for Art and Craft Supplies","Midnight Muffins","Reviewed in the United States on August 9, 2024","Just testing these out, they’re already a quick favorite.Love the brush tips, which are surprisingly scarce in the acrylic marker market.The colors are beautiful.And these are OPAQUE. Quickly and easily cover up the other colors for easy layered sketching or fixing mistakes.The paint doesn’t pill, even with a couple layers.Possibly most impressively, they work like a dream on black paper. I’ve had a thin black paper sketchbook (110 gsm) kicking around for quite some time, but hadn’t found a medium I liked to make any use of it.After doodling on some heavy weight white paper and being surprised by how well they performed, I gave them a shot on my black paper sketchbook and I’m in love. Didn’t even damage the super thin paper!Will have to practice a bit more to figure out what works and what doesn’t on the black paper (notice the difference between the white ghost kitty 1st doodle vs unicorn last doodle), I have no doubt a little elbow grease will bring out way better results than what I have pictured.Overall, great product, love them on day 1.If Sharpie *ever* sees this: put out more colors! These shades are gorgeous and I’d love to see more!",5,NA
"Arts and Crafts","Sharpie Creative Paint-like Brush Tip Acrylic Markers, Assorted Colors, Stocking Stuffers, 12 Count, Perfect for Art and Craft Supplies","Midnight Muffins","Reviewed in the United States on October 31, 2024","I LOVE THESE PENS! No nib pumping, no ripping up your paper, lovely brush tips that don't fray. The color palette is small, but versatile. The pens hold a good amount of paint. The paint is reasonably opaque, depending on the color of the surface you're using. I've used them on (thick) paper, wood, plastic, and canvas with great success, and in conjunction with acrylic paint, gel pens, collage, and canvas. They take acrylic varnish very well. Absolutely recommended.Sharpie, can we have more colors and can you sell them singly? Pretty please?",5,NA
"Arts and Crafts","Crayola Clicks Retractable Tip Markers (10ct), Washable Art Marker Set, Coloring Markers for Kids, Stocking Stuffer for Kids, 3+","MHR","Reviewed in the United States on July 12, 2024","The Crayola Clicks Retractable Tip Markers have quickly become my go-to choice for all my Toddlers coloring and creative projects. Here’s why they stand out:Firstly, the retractable tip feature is a game-changer. It eliminates the hassle of locating the caps that my toddlers keep losing and keeps the markers fresh and ready to use at all times. This convenience alone makes them ideal for both kids and adults alike.The markers themselves are vibrant and deliver rich, consistent colors with each stroke. Whether its for filling in large areas or adding fine details, the Crayola Clicks markers glide smoothly on paper without smudging or bleeding through.Durability is another strong suit. The sturdy design ensures the markers withstand the wear and tear of frequent use, making them reliable for long-term projects and classroom settings.What I appreciate most is the ergonomic design and comfortable grip. The click mechanism is satisfyingly smooth, and the barrel feels comfortable in hand during extended coloring sessions.These markers offer great quality at a reasonable price point, making them a smart investment for toddlers who are expert at losing caps.Overall, if you’re looking for markers that combine convenience, vibrant color, durability, and ergonomic design, look no further than these markers. They make coloring and creating a breeze while ensuring lasting enjoyment and satisfaction.",5,NA
"Arts and Crafts","Crayola Clicks Retractable Tip Markers (10ct), Washable Art Marker Set, Coloring Markers for Kids, Stocking Stuffer for Kids, 3+","T. Per","Reviewed in the United States on October 1, 2024","I purchased these markers for my daughters back to school set. I was getting tired of replacing dried out markers throughout the year so I thought I would give these a try. They are great! The same great washable marker but the click really makes it that much better. My little one would have a hard time putting the marker cap back on fully so we were constantly buying new markers. So far, they are working great for this school year. I would have bought another pack of markers for her normally but this set is still holding strong. Love the click design! Great idea!",5,NA
"Arts and Crafts","Melissa & Doug Drawing Paper Pad (9 x 12 inches) - 50 Sheets, 3-Pack - FSC Certified","Andrea McClellan","Reviewed in the United States on October 11, 2024","I got these as a gift for my grandson. He is drawing more and his skills are growing. The paper is great quality and light weight. The sketch pads are just the perfect size for beginners no matter what the age.",5,NA
"Arts and Crafts","Melissa & Doug Drawing Paper Pad (9 x 12 inches) - 50 Sheets, 3-Pack - FSC Certified","G Family","Reviewed in the United States on October 8, 2024","Been buying this paper for crafts and art for years. Great quality!",5,NA
"Arts and Crafts","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set","becky riggsham","Reviewed in the United States on November 26, 2024","If someone who uses a lot of coloring pencils I was blown away by the richness of the colors the smoothness of the pencils so far I have not had any breakage like my other soft lead pencils, it blends fabulous and layers for me . It's a great value for the money I have purchased two sets and will purchase again. It holds a good sharp point . To me this has been a fantastic purchase. Compared to the price of other soft lead pencils that I use for coloring for pleasure and for anxiety these have been hard to beat. They are fun to use and I have enjoyed them very much.",5,NA
"Arts and Crafts","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set","Susan Chitty","Reviewed in the United States on October 20, 2024","as silk when using. I was hesitant to purchase but I'm very glad I did!  Vibrant colors,  easily glide onto the page. Sharpen well,  no broken leads!They are a steal at this price!",5,NA
"Arts and Crafts","KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners","★","Reviewed in the United States on November 10, 2024","Got these on sale for incredibly cheap, and they're amazing. The color is nice and I'd personally say they're easy to blend. Nice with alcohol markers, too.",5,NA
"Arts and Crafts","KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners","★","Reviewed in the United States on October 16, 2024","This set is beautiful its the perfect size for the money and shares the sharpness, thickness, and durability of its competitors. You can't beat the price for the quality",5,NA
