"ProductCategory","ProductName","Reviewer","ReviewDate","Comment","Rating","IsVerifiedPurchase"
"Computers and Tablets","Acer Aspire Go 15 Slim Laptop | 15.6 Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947","Vivian-Tay Pryce","Reviewed in the United States on November 19, 2024","I’ve had the Acer Aspire Go 15 Slim Laptop for about three months now, and I’m really happy with it! As a college student, it's the perfect balance of performance and portability. It's lightweight enough to carry around campus, and the battery lasts me through a full day of classes and studying. The screen is sharp, and it handles everyday tasks like note-taking, web browsing, and streaming without any issues. For the price, it's definitely a great value—I'm excited to keep using it for the rest of my college years!",5,NA
"Computers and Tablets","Acer Aspire Go 15 Slim Laptop | 15.6 Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947","Davy","Reviewed in the United States on September 14, 2023","I bought this laptop for writing and taking online classes primarily, and it's just perfect.  Keyboard is nice to use.  Screen is bright and crisp.  Laptop is lightweight.This is NOT a laptop for gaming, video editing, demanding graphics work, and you're probably going to get frustrated if you are a busy, multi-tasker with multiple software and dozens of browser tabs open at the same time.That being said, for basic computing needs (word processing, watching Netflix, web browsing, blogging, writing a novel, taking classes, etc...), this laptop is near perfect and budget-friendly.Couple Notes: - The processor is 1.1 ghz, not 2.8 as listed in description, but really, you wouldn't be doing anything on this that should ever require that much processor speed. - Memory is upgradeable, which is nice, but I've found that 4gb is fine for what I'm using it for right now. - Laptop looks stylish, but lacks that ""high-end"" feel - but it's a $200 laptop.  Still, I like it and keyboard feels good for typing at length. - Screen is sharp.  Colors are decent.  Not the best screen out there, of course, but certainly not bad at all.  Not a touch screen...slight bummer but not a big deal to me. - Sound coming from speakers is nice and loud.  No, not premium sound, but sufficient to watch movies/video classes and hear it just fine.  I'm happy with it, but no audiophile.  Use headphones or a Bluetooth speaker if you want better sound. - Performance has been fast and I've been satisfied. - Easy to switch from Windows S to full Windows Home, which is my preference and why I opted for this over a Chromebook. - 81gb of available storage space after OS and apps take up a bit of the 128 gb drive.  To me, that's totally fine since I'm not saving anything on this - it all goes in the cloud. - I don't think the battery will actually last 9 hours with normal settings, but I get a solid 5 or so hours out of it between charges.RE: Slowness/Lagginess:A couple negative reviews mentioned this and when it happened to me, I thought that maybe there WAS something off about this computer.Turns out when I logged into my Microsoft account, it started syncing my existing desktop computer with this laptop, and with only 4gb of memory and slower processor, it just bogged it right down for about 20 minutes or so as it synced apps, desktop icons, etc....  Once everything synced up, it was fine and has been ever since.So if you experience slow, laggy performance when you first get this, and you've logged into your Microsoft account, set it down and let it sync for 20 minutes or so, or better yet, adjust the sync settings to be more selective.All in all, it's a great, inexpensive laptop that is super lightweight, super portable, looks nice, performs great, and is perfect for basic computing, an older child/teen, college courses, etc...",5,NA
"Computers and Tablets","ASUS Chromebook CX1, 14 FHD, IntelÂ® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F","D. Blair","Reviewed in the United States on February 13, 2023","I got the 15 inch, i needed this mostly for a good laptop, long battery life, USB C Charging, and price. I looked at several ""higher"" contenders, but for the 8g RAM, 64gb HD plus SD Card slot, battery life, size, and quality, you're not going to find a better sub- $300 chromebook. All others that compare are closer to $600-1000.Battery life isn't quite 11 hours with the most recent updates, more like 6-8. I use this primarily for online EHR for the facility I work for, and it's great. While some may not like the screen with more advanced (read as >$750 models), it is also a little blah appearing screen BECAUSE of the anti-glare. This means I can chart and do notes outside without sacrificing efficiency. Overall, the only ""missing"" thing is a touch screen. My main laptop is a Surface Pro 7, so I'm not really missing this. This is a fantastic true ""lap"" top.Unlike others, I have used other Chromebooks. This is superior for the PRICE.",5,NA
"Computers and Tablets","ASUS Chromebook CX1, 14 FHD, IntelÂ® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F","Ginny","Reviewed in the United States on July 24, 2023","i bought this in feb. and it stopped working in june. (guarantee  up April ) i get a message to put in a recovery stick. there is no recovery stick with it so you have to make your own. first you need a computer with microsoft on it. if i had that i wouldn't have needed to buy a chromebook. what a waste. it is cheaper to buy a new one than repair at computer store. won't buy asus again though. BTW, i am typing this on my old (very old) acer c720 which works great, just cannot be up graded to work with my bank.",5,NA
"Computers and Tablets","Samsung Galaxy Tab S9 FE 10.9â€ 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray","BM","Reviewed in the United States on November 6, 2024","I bought the Samsung Tab S9 FE for my mother, as she isn’t a heavy user, and I was pleasantly surprised by its performance. Despite its affordable price, the tablet feels quite powerful, handling apps and multitasking with ease. The display is vibrant and sharp, which makes it enjoyable for reading, browsing, and watching videos. Battery life is impressive, lasting well through the day, even with regular use. The build quality is solid, and it feels premium in hand. For anyone looking for a capable, budget-friendly tablet, this is an excellent choice that delivers more than expected.",5,NA
"Computers and Tablets","Samsung Galaxy Tab S9 FE 10.9â€ 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray","Bri","Reviewed in the United States on November 5, 2024","This is my first ever tablet and TRUST ME it did not disappoint!!! The battery life is long, it's quick to the touch, SO MUCH STORAGE FOR MY STUFF I was worried when I kept downloading stuff but IT WAS FINE???? almost cried tears of joy 😭😭 the sound quality is amazing THE TABLET QUALITY IS GREAT. it's pretty thin and sleek but definitely durable. Touching and writing on it with s pen is soooo east too!!!",5,NA
"Computers and Tablets","HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)","Sammi","Reviewed in the United States on November 27, 2024","I like this little laptop because it is just fast enough and it’s very lightweight. I brought it back-and-forth from school and work and even on an airplane with no problems. It got me through graduate school. The batteries don’t last but just a few hours but that’s actually all I needed. It is everything I needed and the price was right. It is a great value for what you pay for it. I would buy it again.",5,NA
"Computers and Tablets","HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)","muzic kat","Reviewed in the United States on August 4, 2024","It was a great price during Prime Day. Purchased the laptop to replace my old laptop. Setting it up was pretty simple. Just followed the prompts, and it was ready to go in no time. I really like the faster speed and clear display.",5,NA
"Computers and Tablets","Lenovo IdeaPad 3i Chromebook, 15.6â€ FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue","Sherleen G.","Reviewed in the United States on October 14, 2024","I liked this option for the ease of use since I really don’t need a regular laptop at this time in my life.  It is perfect for my smaller needs.  The price was great vs. a laptop, after my laptop dumped out.  It does everything I need it to do‼️. Very happy with my Chrome Book‼️",5,NA
"Computers and Tablets","Lenovo IdeaPad 3i Chromebook, 15.6â€ FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue","Gilbert","Reviewed in the United States on September 3, 2024","This is the first lenovo and chromebook that I buy. I used to use windows hp and thought the endless updates were the norm until I was recommended this.At first glance, it looks good. The touchpad is responsive, keys aren't clacking loud, not too heavy. And it was very easy to set up. The screen looks good too.That said, haven't fully used it yet and will update as to how the performance and battery life will go.That said, right out of the box; I don't know if it's touchscreen or not. If it is, then either I haven't enabled it or the screen is not sensitive enough to register a touch.Update:I got the laptop in September third and charged it that evening. From then to now ( about 3 weeks later) I left it on sleep mode and haven't touched it since. Today I open it up and am surprised that it's still at 90%~ charge. That's bonkers to me, my old one would doe within three hours of sleep mode.Still I'll update on the battery once I get to properly use it.As for the screen, it is not touch screen.",5,NA
